benchmark,primaryScore,noOfValues,CYCLE_ACTIVITY.STALLS_L2_MISS,CYCLE_ACTIVITY.CYCLES_L1D_MISS,CYCLE_ACTIVITY.STALLS_TOTAL,LLC-loads,CYCLE_ACTIVITY.CYCLES_L2_MISS,CYCLE_ACTIVITY.STALLS_L1D_MISS,L1-dcache-loads,L2_RQSTS.ALL_DEMAND_DATA_RD,LLC-load-misses,CYCLE_ACTIVITY.CYCLES_L3_MISS,CYCLE_ACTIVITY.STALLS_L3_MISS,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,44979.64109197572,32,5180.818218541077,12332.068031798624,46718.63906715024,220.5940678873333,8942.112653063916,6582.347474977873,8792.466220846401,755.6447284367028,0.29361683467171507,54.693197676840654,57.85223426501269,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,45003.880402740404,64,4976.327423495975,11875.898192334802,46297.05037587213,231.2754623796753,8667.899166082367,6370.189199441373,8704.179694828059,731.7920762065286,0.26108439631297464,67.68158806755432,48.836495722117796,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,44774.30349287071,128,4782.200411345927,11763.13513343092,45950.37140605422,217.01602589223015,8564.244198476763,6144.641189711634,8618.634593445277,736.3184474205245,0.2664962856751996,59.18997273906574,44.11208001368062,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,44695.536165523554,256,5088.647507046128,12181.572030635632,47163.32121971055,232.03543722380792,8760.568406971071,6578.223272413588,9069.443500853047,758.3212907526434,0.499190113079283,91.21939262037283,106.71801488072732,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,43920.62319923965,512,5251.027920683838,12423.291677492316,47704.544075707694,250.7343608544391,9130.163971296404,6802.842129245962,9172.682466236307,766.7856499744275,0.376721702621567,50.537080366260426,44.67065309214046,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,43343.941905342035,1024,5468.731613490094,13228.079521596057,50828.04812257894,245.0885997461906,9447.332685686266,7228.942814068236,10455.295728068415,824.8277555225334,2.601978736365397,390.3718679217451,331.15648033564753,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,42877.96573654164,2048,4844.112313221876,12246.003160074533,49897.0839433232,234.11574783240968,8583.177034455106,6384.864575894439,10494.208288035761,789.8586942577103,0.361970673804163,39.89412295567869,38.24959510747438,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,39557.78212929526,4096,5254.477098231724,13320.447069886357,56845.2238012778,266.717308141952,9307.865706638118,7031.421579407555,12555.543045082522,889.9282867212811,0.3168776649296723,69.46187993025212,48.715671190231504,
com.bhf.averages.CalculatingAveragesParallelAtomic.testAverageWithParallelAtomic,45538.46776668276,4,4548.697512083754,11070.95211004235,45199.95092262902,198.4448122002344,8081.930084514442,5844.933312788366,8243.64982863221,691.7044893547209,0.2922749355636985,31.720104939085733,35.44539756819526,
com.bhf.averages.CalculatingAveragesParallelAtomic.testAverageWithParallelAtomic,45112.804353087726,8,4850.167221859608,11511.540666584026,45510.823098616136,224.60517875007835,8499.133000725453,6251.044812017515,8202.358889874416,713.5528071043639,0.23986354053285447,50.400383177999366,42.955540177247656,
com.bhf.averages.CalculatingAveragesParallelAtomic.testAverageWithParallelAtomic,45439.72950952725,16,4693.314128418697,11395.862519887916,45545.22122047651,213.86451846220055,8297.43510869253,6012.728274295223,8564.222246807725,721.8134042066664,0.38991730411356296,58.178005606474485,64.67678750207847,
